blockHeight,numTxns,numContTxns,numIntContTxn,intContRatio,totalContRation
5002500.0,156.1054,54.11,23.0766,0.14782704506058086,0.34662478043680744
5007500.0,151.009,59.7396,28.4058,0.1881066691389255,0.3956029110847698
5012500.0,180.0486,69.8888,34.1706,0.18978542460202413,0.38816630620843484
5017500.0,167.8978,57.67,24.3532,0.14504776119758567,0.3434827615370779
5022500.0,138.4046,54.0234,21.9872,0.15886177193532586,0.3903295121693932
5027500.0,132.8846,53.736,19.822,0.1491670216112326,0.4043809440672584
5032500.0,130.7618,52.6516,20.2188,0.15462313917367304,0.40265276250403403
5037500.0,158.454,55.4626,23.7242,0.14972294798490413,0.3500233506254181
5042500.0,141.7796,55.1636,22.554,0.15907789272927841,0.38907995226393643
5047500.0,142.3854,54.8792,24.332,0.17088830736859256,0.38542715755969364
5052500.0,116.4768,51.2988,23.439,0.20123320695623506,0.4404207533173988
5057500.0,123.1512,55.669,21.257,0.17260895549535854,0.4520378201755241
5062500.0,144.6682,58.5804,21.9484,0.15171544264738207,0.4049293486751062
5067500.0,130.0682,60.515,28.36,0.21803945929904464,0.4652559195868014
5072500.0,134.7824,61.0682,19.3314,0.14342673820914303,0.4530873467158917
5077500.0,138.3102,58.2698,19.4066,0.14031213894564537,0.4212979230743647
5082500.0,128.244,57.5948,17.3268,0.13510807523158977,0.44910327188796356
5087500.0,124.3762,52.9908,20.3186,0.16336405196492576,0.42605257275909697
5092500.0,131.3376,57.9442,21.4808,0.16355407743098702,0.44118515946690057
5097500.0,120.6552,52.8756,20.2754,0.16804414563151857,0.43823722475284943
5102500.0,119.5346,55.7474,19.9384,0.16680024026516171,0.466370406560109
5107500.0,134.0408,72.3046,21.372,0.15944399018806213,0.5394223251427923
5112500.0,125.664,64.5324,23.3404,0.18573656735421443,0.513531321619557
5117500.0,134.874,68.8906,23.8622,0.17692216439046815,0.5107774663760251
5122500.0,150.875,78.1696,27.264,0.1807058823529412,0.5181083678541839
5127500.0,146.4698,71.5382,33.2886,0.2272727893395089,0.48841604207829875
5132500.0,140.3982,72.6934,29.7448,0.21186026601480645,0.5177658972835834
5137500.0,122.8418,59.2806,20.8048,0.16936254597376463,0.4825767776115296
5142500.0,126.258,64.7136,20.1128,0.15929921272315417,0.5125504918500214
