queueLen,fracBlock40,fracBlock400,fracBlock800
0,0.012344615119460542,0.00028535054216603014,6.47179376550534e-05
1,0.9796626236077299,0.8937617981474165,0.6718369107971093
2,0.007755779132645367,0.09901663813161245,0.2679969798295761
3,0.00012926298554408945,0.005728960885025681,0.038852335238917055
4,2.1543830924014907e-05,0.0005926511260371395,0.00489699061589904
5,0,0.00019755037534571315,0.0017473843166864417
6,2.1543830924014907e-05,0.00032925062557618857,0.0030848883615575452
7,0,2.1950041705079238e-05,0.0035594865710279365
8,2.1543830924014907e-05,2.1950041705079238e-05,0.0029338798403624206
9,2.1543830924014907e-05,2.1950041705079238e-05,0.003710495092223061
