constTh,k15,cfi15,k25,cfi25,k35,cfi35,k45,cfi45,k55,cfi55,k65,cfi65
15,0.0412958,0.0,0.0406871,0.0,0.04060282,0.0,0.0405813,0.0,0.040574,0.0,0.0405751,0.0
25,0.0105785,0.0,0.0103378,0.0,0.01035321,0.0,0.0103375,0.0,0.0103428,0.0,0.0103408,0.0
35,0.0028253,0.0,0.0028068,0.0,0.00280342,0.0,0.0028011,0.0,0.0028032,0.0,0.0028019,0.0
45,0.0007818,0.0,0.000775,0.0,0.0007734,0.0,0.0007749,0.0,0.0007744,0.0,0.0007753,0.0
55,0.0002137,0.0,0.0002149,0.0,0.0002131,0.0,0.0002128,0.0,0.0002134,0.0,0.0002133,0.0
65,6.36e-05,0.0,6.33e-05,0.0,6.37e-05,0.0,6.34e-05,0.0,,,6.33e-05,0.0
constTh,k15,cfi15,k25,cfi25,k35,cfi35,k45,cfi45,k55,cfi55,k65,cfi65
15,0.0412958,0.0,0.0406871,0.0,0.04060282,0.0,0.0405813,0.0,0.040574,0.0,0.0405751,0.0
25,0.0105785,0.0,0.0103378,0.0,0.0103532091,0.0,0.0103375,0.0,0.0103428,0.0,0.0103408,0.0
35,0.0028253,0.0,0.0028068,0.0,0.0028034167,0.0,0.0028011,0.0,0.0028032,0.0,0.0028019,0.0
45,0.0007818,0.0,0.000775,0.0,0.0007734,0.0,0.0007749,0.0,0.0007744,0.0,0.0007753,0.0
55,0.0002137,0.0,0.0002149,0.0,0.0002131,0.0,0.0002128,0.0,0.0002134,0.0,0.0002133,0.0
65,6.36e-05,0.0,6.33e-05,0.0,6.37e-05,0.0,6.34e-05,0.0,,,6.33e-05,0.0
constTh,k15,cfi15,k25,cfi25,k35,cfi35,k45,cfi45,k55,cfi55,k65,cfi65
15,0.0412958,0.0,0.0406871,0.0,0.04060282,0.0,0.0405813,0.0,0.040574,0.0,0.0405751,0.0
25,0.0105785,0.0,0.0103378,0.0,0.0103532091,0.0,0.0103375,0.0,0.0103428,0.0,0.0103408,0.0
35,0.0028253,0.0,0.0028068,0.0,0.0028034167,0.0,0.0028011,0.0,0.0028032,0.0,0.0028019,0.0
45,0.0007818,0.0,0.000775,0.0,0.0007734,0.0,0.0007749,0.0,0.0007744,0.0,0.0007753,0.0
55,0.0002137,0.0,0.0002149,0.0,0.0002131,0.0,0.0002128,0.0,0.0002134,0.0,0.0002133,0.0
65,6.36e-05,0.0,6.33e-05,0.0,6.37e-05,0.0,6.34e-05,0.0,,,6.33e-05,0.0
